Hercules in New York,1969,Hercules
The Long Goodbye,1973,Hood in Augustine's office
Happy Anniversary and Goodbye,1974,Rico
Stay Hungry,1976,Joe Santo
Pumping Iron,1977,Himself
The Villain,1979,Handsome Stranger
Scavenger Hunt,1979,Lars
The Comeback,1980,Himself
Conan the Barbarian,1982,Conan
Conan the Destroyer,1984,Conan
The Terminator,1984,The Terminator
Red Sonja,1985,Kalidor
Commando,1985,Colonel John Matrix
Raw Deal,1986,"Mark Kaminsky, aka Joseph P. Brenner"
Predator,1987,Major Alan 'Dutch' Schaeffer
The Running Man,1987,Ben Richards
Red Heat,1988,Captain Ivan Danko
Twins,1988,Julius Benedict
Total Recall,1990,Douglas Quaid / Hauser
Kindergarten Cop,1990,Detective John Kimble
Terminator 2: Judgment Day,1991,The Terminator
Last Action Hero,1993,Jack Slater / Himself
Dave,1993,Himself
True Lies,1994,Harry Tasker
Junior,1994,Dr. Alex Hesse
Terminator 2: 3-D Battle Across Time,1996,The Terminator
Eraser,1996,U.S. Marshal John Kruger
Jingle All the Way,1996,Howard Langston
Batman & Robin,1997,Dr. Victor Fries / Mr. Freeze
End of Days,1999,Jericho Cane
The 6th Day,2000,Adam Gibson / Adam Gibson Clone
Dr. Dolittle 2,2001,White Wolf
Collateral Damage,2002,Gordy Brewer
Terminator 3: Rise of the Machines,2003,The Terminator
The Rundown,2003,Bar Patron
Around the World in 80 Days,2004,Prince Hapi
Terminator Salvation,2009,The Terminator
The Expendables,2010,Trench Mauser
The Expendables 2,2012,Trench Mauser
The Last Stand,2013,Sheriff Ray Owens
Escape Plan,2013,Emil Rottmayer / Victor Mannheim
Sabotage,2014,John 'Breacher' Wharton
The Expendables 3,2014,Trench Mauser
Maggie,2015,Wade
Terminator Genisys,2015,The Terminator
